Post injection (days),Porosity,Permeability,Thickness,Salinity,depth,Residual gas saturation,Injection rate (ton/day),RTI,STI
504.0915886,0.093,5.615,30,30000,955,0.4,7.82,0.140359392,0.084301064
276.1573854,0.093,5.615,30,30000,955,0.4,7.82,0.140262091,0.095975768
276.1573854,0.093,5.615,30,30000,955,0.4,7.82,0.14177884,0.095975768
10,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.315,0.17
20,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.452,0.185
30,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.485,0.191
40,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.503,0.194
52,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.513,0.198
62,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.521,0.201
72,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.525,0.204
83,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.528,0.206
93,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.528,0.207
104,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.528,0.209
114,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.527,0.21
124,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.526,0.212
135,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.524,0.214
145,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.523,0.215
156,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.522,0.217
166,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.521,0.219
176,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.52,0.221
187,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.518,0.222
197,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.517,0.224
208,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.516,0.225
218,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.515,0.227
228,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.513,0.229
239,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.512,0.23
249,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.51,0.232
260,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.509,0.234
270,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.508,0.235
281,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.506,0.237
291,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.505,0.239
301,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.503,0.241
312,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.501,0.242
